annId,animeType,animeJPName,songType,songArtist,songName,animeVintage,annSongId,anilistId,audio,HQ,MQ,songLength
23921,TV,Odd Taxi,Opening 1,Skirt to PUNPEE,ODDTAXI,Spring 2021,33339,128547,3ehm3l.mp3,jj1det.webm,,89.43
23921,TV,Odd Taxi,Ending 2,Tony Frank,Kabe no Mukou ni Waraigoe o Kikimashita ka,Spring 2021,33724,128547,85h5bv.mp3,k9ssar.webm,,108.24
28357,TV,Odekake Kozame,Ending 1,Kana Hanazawa,Yorimichi,Summer 2023,40755,165426,vfabze.mp3,ye3m8l.webm,,29.784
26180,TV,Okashi na Tensei,Opening 1,sana (sajou no hana),Brand new day,Summer 2023,40261,153339,givp29.mp3,obl9ag.webm,,87.336
26180,TV,Okashi na Tensei,Ending 1,YuNi,Fuumi Zekka,Summer 2023,40262,153339,0d2q4q.mp3,u0uyzs.webm,,89.256
28892,TV,Okinawa de Suki ni Natta Ko ga Hougen Sugite Tsurasugiru,Ending 1,Fairouz Ai & Akari Kitou,Shimanchu nu Takara,Winter 2025,44452,166699,,5iv85h.webm,,
28892,TV,Okinawa de Suki ni Natta Ko ga Hougen Sugite Tsurasugiru,Opening 1,HY,Dai Dai Daisuki,Winter 2025,44375,166699,s67vt4.mp3,lwtoeg.webm,,
28892,TV,Okinawa de Suki ni Natta Ko ga Hougen Sugite Tsurasugiru,Ending 2,Fairouz Ai & Akari Kitou,Anata ni,Winter 2025,44453,166699,,ziwms6.webm,,
16812,TV,Okusama ga Seitokaichou!,Ending 1,Ayana Taketatsu,Ren×Ai=Equation,Summer 2015,15044,20984,u9yskm.mp3,123qd2.webm,b49p2d.webm,23.184
16812,TV,Okusama ga Seitokaichou!,Ending 2,Minami Tsuda,Realize,Summer 2015,15045,20984,np79be.mp3,8aula3.webm,9yzgql.webm,21
16812,TV,Okusama ga Seitokaichou!,Opening 1,Rekka Katakiri,Koi Suru☆Hiyoko,Summer 2015,15043,20984,d7j956.mp3,wuitha.webm,,29.784
18672,TV,Okusama ga Seitokaichou!+!,Opening 1,Rekka Katakiri,Kirakira☆Explorer,Fall 2016,16167,21610,x518cw.mp3,3zs9b9.webm,cpcick.webm,29.544
18672,TV,Okusama ga Seitokaichou!+!,Ending 3,Ayana Taketatsu,Koi ni Matsuwaru Etcetera ~Wakana Ui no Baai~,Fall 2016,16170,21610,4prvn8.mp3,6nqy1d.webm,32c7ex.webm,19.461
18672,TV,Okusama ga Seitokaichou!+!,Ending 2,Minami Tsuda,Koi ni Matsuwaru Etcetera ~Misumi Rin no Baai~,Fall 2016,16168,21610,4s375n.mp3,85ygzm.webm,6yutoy.webm,19.032
18672,TV,Okusama ga Seitokaichou!+!,Ending 1,Sora Tokui,Koi ni Matsuwaru Etcetera ~Saijou Honoka no Baai~,Fall 2016,16169,21610,p8qeyv.mp3,ulvi1b.webm,,19.008
20616,TV,Omae wa Mada Gunma o Shiranai,Ending 1,Aya Uchida,So Happy,Spring 2018,18698,101042,ykaare.mp3,mzuqay.webm,,28.968
10767,TV,Omamori Himari,Opening 1,AyaRuka,Oshichau zo!!,Winter 2010,10259,6324,treewc.mp3,8dmekz.webm,,87.024
10767,TV,Omamori Himari,Ending 1,Himarinko L Shizukuesu,BEAM my BEAM,Winter 2010,10260,6324,vuil6k.mp3,titl5m.webm,,90.456
20053,TV,"Omiai Aite wa Oshiego, Tsuyoki na, Mondaiji.",Ending 1,Saki Hazuki,My one,Fall 2017,16754,99894,fqifmg.mp3,h6l1nz.webm,,20.928
22922,Movie,"Omoi, Omoware, Furi, Furare",Ending 1,BUMP OF CHICKEN,Gravity,Summer 2020,30566,109125,xid4nt.mp3,3nlcfc.webm,,303.336
15761,Movie,Omoide no Marnie,Ending 1,Priscilla Ahn,Fine on the Outside,Summer 2014,13738,20555,iuobvr.mp3,2hm7cm.webm,lcjy84.webm,241.368
14162,OVA,One Off,Opening 1,ROUND TABLE featuring Nino,Yakusoku no Basho,Summer 2012,12386,13283,cinb5u.mp3,pag5k8.webm,,87.336
14162,OVA,One Off,Ending 1,ROUND TABLE featuring Nino,Memories,Summer 2012,12385,13283,25bzie.mp3,q4dni9.webm,,98.208
10199,TV,One Outs,Ending 1,TRIBAL CHAIR,Moment,Fall 2008,9835,5040,53b74e.mp3,,hnkf1v.webm,69.528
10199,TV,One Outs,Opening 1,Pay money To my Pain,Bury,Fall 2008,9834,5040,kfe5o7.mp3,,wmlf63.webm,79.536
836,TV,One Piece,Opening 17,AAA,Wake up!,Fall 1999,2220,21,3vh811.mp3,425x16.webm,,148.824
836,TV,One Piece,Opening 21,V6,Super Powers,Fall 1999,22186,21,2qpwii.mp3,7f33tu.webm,,148.152
836,TV,One Piece,Opening 18,GENERATIONS from EXILE TRIBE,Hard Knock Days,Fall 1999,2221,21,yfxsl7.mp3,7ghiql.webm,,149.736
836,TV,One Piece,Opening 25,SEKAI NO OWARI,Saikou Toutatsu-ten,Fall 1999,40986,21,us5wjp.mp3,7ub4ci.webm,,88.176
836,TV,One Piece,Opening 20,Namie Amuro,Hope,Fall 1999,2223,21,dgxrh7.mp3,8z0xet.webm,,148.344
836,TV,One Piece,Opening 19,Kishidan to Hiroshi Kitadani,We Can!,Fall 1999,2222,21,stzeye.mp3,acof2e.webm,,146.352
836,TV,One Piece,Opening 22,Hiroshi Kitadani,OVER THE TOP,Fall 1999,25192,21,mjpy1m.mp3,apxeiw.webm,,118.56
836,TV,One Piece,Opening 16,Kota Shinzato,HANDS UP!,Fall 1999,2219,21,hbe51w.mp3,bjm0na.webm,,149.88
836,TV,One Piece,Ending 20,Chilli Beans.,Raise,Fall 1999,40781,21,06yl6h.mp3,cmmodr.webm,,88.752
836,TV,One Piece,Opening 26,Hiroshi Kitadani,Uuuuus!,Fall 1999,42112,21,y2jlz4.mp3,fsfc2w.webm,,88.656
836,TV,One Piece,Opening 23,Da-iCE,DREAMIN' ON,Fall 1999,30507,21,dgd9td.mp3,hnfwlu.webm,,119.376
836,TV,One Piece,Opening 15,Hiroshi Kitadani,We Go!,Fall 1999,2218,21,ouqlb9.mp3,io0s7q.webm,,148.944
836,TV,One Piece,Opening 24,I Don't Like Mondays.,PAINT,Fall 1999,35753,21,t494l7.mp3,q29ldp.webm,,119.328
